Serial_Number,Frame_Number,Total_Potholes,Total_Obstacles,Pothole_Details,Obstacle_Details
96,96,3,0,"Pothole:conf=0.8769,bbox=(1513,564,1914,822),diameter=329.5px | Pothole:conf=0.8369,bbox=(109,759,591,938),diameter=330.5px | Pothole:conf=0.7734,bbox=(292,644,566,710),diameter=170.0px",None
97,97,0,0,None,None
98,98,0,0,None,None
99,99,0,0,None,None
100,100,0,0,None,None
101,101,0,0,None,None
102,102,1,0,"Pothole:conf=0.8119,bbox=(465,785,948,946),diameter=322.0px",None
103,103,1,0,"Pothole:conf=0.8336,bbox=(255,620,519,710),diameter=177.0px",None
104,104,0,0,None,None
105,105,0,0,None,None
106,106,0,0,None,None
107,107,0,0,None,None
108,108,0,0,None,None
109,109,0,0,None,None
110,110,0,0,None,None
111,111,0,0,None,None
112,112,0,0,None,None
113,113,0,0,None,None
114,114,0,0,None,None
115,115,0,0,None,None
116,116,0,0,None,None
117,117,0,0,None,None
118,118,1,0,"Pothole:conf=0.8229,bbox=(824,249,947,287),diameter=80.5px",None
119,119,0,0,None,None
120,120,1,0,"Pothole:conf=0.7909,bbox=(827,265,952,306),diameter=83.0px",None
121,121,0,0,None,None
122,122,0,0,None,None
123,123,2,0,"Pothole:conf=0.7804,bbox=(834,294,986,341),diameter=99.5px | Pothole:conf=0.7622,bbox=(596,272,706,312),diameter=75.0px",None
124,124,0,0,None,None
125,125,0,0,None,None
126,126,0,0,None,None
127,127,1,0,"Pothole:conf=0.7511,bbox=(1384,425,1725,519),diameter=217.5px",None
128,128,1,0,"Pothole:conf=0.7966,bbox=(1472,459,1837,576),diameter=241.0px",None
129,129,1,0,"Pothole:conf=0.7617,bbox=(1555,507,1914,622),diameter=237.0px",None
130,130,1,0,"Pothole:conf=0.8337,bbox=(1634,552,1913,679),diameter=203.0px",None
131,131,0,0,None,None
132,132,0,0,None,None
133,133,0,0,None,None
134,134,0,0,None,None
135,135,0,0,None,None
136,136,0,0,None,None
137,137,0,0,None,None
138,138,2,0,"Pothole:conf=0.7837,bbox=(510,545,722,622),diameter=144.5px | Pothole:conf=0.7608,bbox=(1137,290,1417,336),diameter=163.0px",None
139,139,3,0,"Pothole:conf=0.8646,bbox=(482,582,726,681),diameter=171.5px | Pothole:conf=0.8592,bbox=(368,353,521,392),diameter=96.0px | Pothole:conf=0.8309,bbox=(1162,296,1436,345),diameter=161.5px",None
140,140,2,0,"Pothole:conf=0.9494,bbox=(443,622,712,750),diameter=198.5px | Pothole:conf=0.9163,bbox=(1162,300,1462,351),diameter=175.5px",None
141,141,2,0,"Pothole:conf=0.8668,bbox=(367,683,703,855),diameter=254.0px | Pothole:conf=0.8294,bbox=(1180,306,1480,362),diameter=178.0px",None
142,142,4,0,"Pothole:conf=0.9107,bbox=(124,491,713,585),diameter=341.5px | Pothole:conf=0.9041,bbox=(293,745,665,939),diameter=283.0px | Pothole:conf=0.8818,bbox=(280,391,459,437),diameter=112.5px | Pothole:conf=0.8441,bbox=(1195,313,1503,371),diameter=183.0px",None
